6007202	['100012388', '100012388', '100018479', '100013651']
6012388	['100004888', '100007147', '100070958', '100004888']
1019348	['100011502', '100011713', '100001961']
1019341	['100011653', '100011301', '100010805']
1019340	['100010732', '100001710', '100011536']
9000424	['100078320', '100096862', '100031674', '100096951', '100008272', '100008272']
9000425	['100031674', '100031588', '100023898', '100041721', '100041721', '100096975', '100031116', '100008272', '100008272', '100027152']
1019344	['100010732', '100005500', '100008822']
11543	['100008647', '100008283', '100004804', '100007303', '100004659', '100004659']
11540	['100000825', '100008283', '100008642', '100008642', '100001280', '100007303', '100004804', '100004605', '100004605', '100008642', '100008642', '100001280', '100008642', '100005995', '100008283', '100008642']
1018692	['100003857']
5001999	['100018453', '100017008', '100017568', '100006957', '100006720', '100008254', '100001611', '100006720', '100000250', '100006612', '100006612', '100000485', '100008254', '100068264', '100006720', '100006720']
19398	['100000345', '100000174', '100004796']
5004312	['100018453', '100004414', '100018453', '100015315', '100018453', '100018453', '100018453', '100069403', '100010329', '100018453', '100010329', '100067778', '100018453', '100018453', '100016133', '100018453', '100018453', '100018453', '100018453']
5004316	['100002126', '100008948', '100061201', '100002126', '100002126', '100002126', '100005272', '100061201']
5004314	['100002126', '100068857', '100008230', '100068857', '100068857', '100008230', '100002126', '100002126']
5003845	['100008254', '100068141']
7000496	['100090267', '100008306', '100061294', '100005415', '100090267', '100090267']
5003844	['100067778', '100021736', '100021736']
1033423	['100011101', '100009865', '100002857', '100009865', '100009865', '100010953', '100009865', '100010953', '100002317']
6014971	['100019875', '100019875', '100080379', '100080379']
46131	['100004172', '100007593', '100006552', '100000259', '100000485', '100003200', '100000259', '100006552', '100004172', '100004172']
6000463	['100000834', '100006134']
1004245	['100009663', '100008647', '100010334', '100008647', '100008647', '100008647', '100009547', '100009547', '100009547', '100008647']
1004246	['100009496', '100008647']
1004242	['100009575', '100005048', '100005048', '100010343', '100009141', '100010124', '100001158', '100005048']
1004243	['100000687', '100010925', '100001199', '100009663']
7000722	['100005415', '100061419', '100068670', '100005632', '100032398', '100000815', '100004118', '100005415', '100014993']
6022396	['100007944', '100081377', '100027955', '100004428', '100028400', '100005396']
10003968	['100029374', '100011172', '100066783', '100029374', '100029374', '100066783']
6006153	['100019875', '100078908', '100078908']
19970	['100007459', '100007459', '100003748', '100003748']
274	['100007518', '100001204', '100000725', '100000251', '100000236', '100002330', '100007235', '100008230', '100000725', '100000725', '100006616', '100006616', '100000254', '100000499', '100000248', '100000236', '100000248', '100006616', '100006616', '100000248']
6006156	['100008799', '100014757']
278	['100000148', '100005160', '100000216', '100002048', '100000179']
279	['100000241', '100005160', '100000241', '100007518', '100000448', '100000143', '100000768', '100000178']
10003963	['100102480', '100041733', '100018230', '100018230', '100041733']
16706	['100003735', '100004948', '100001252', '100008306', '100008306', '100005396', '100003998', '100008230', '100000255']
6013474	['100014757', '100077026', '100014757', '100014757', '100004033', '100077026', '100014757']
16700	['100004219', '100001252', '100001191', '100007035', '100002517', '100004913', '100008253', '100003652']
